id,status,reason,n_lig,n_poc,mw
1b58,filtered,"rot_bonds_ok,heavy_atoms_ok",0,0,440.28564857627
1b5h,filtered,rot_bonds_ok,0,0,364.27760931235997
1b5i,filtered,rot_bonds_ok,0,0,391.26524748027
1b5j,filtered,rot_bonds_ok,0,0,405.28089754427
1b6h,filtered,rot_bonds_ok,0,0,376.29073395626995
1b6j,filtered,"mw_ok,rot_bonds_ok,heavy_atoms_ok",0,0,688.40283810809
1b6k,filtered,"mw_ok,rot_bonds_ok,heavy_atoms_ok",0,0,680.4017754880899
1b6l,filtered,"mw_ok,heavy_atoms_ok",0,0,546.32861054809
1b7h,filtered,rot_bonds_ok,0,0,390.30638402026995
1b8n,skip,rdkit_parse_failed,0,0,0.0
1b3h,filtered,rot_bonds_ok,0,0,430.33768414826994
1b3l,filtered,rot_bonds_ok,0,0,334.24378376426995
1b40,filtered,rot_bonds_ok,0,0,424.29073395626995
1b46,filtered,rot_bonds_ok,0,0,374.27508389226995
1b4h,filtered,rot_bonds_ok,0,0,378.29325937635997
1b4z,filtered,rot_bonds_ok,0,0,392.24926306826995
1b51,filtered,rot_bonds_ok,0,0,364.25434844827
1b52,filtered,rot_bonds_ok,0,0,378.26999851227
1b55,filtered,rot_bonds_ok,0,0,499.9287101919998
1b57,ok,,10,388,170.993273542
1bwb,skip,rdkit_parse_failed,0,0,0.0
1bxo,filtered,"mw_ok,rot_bonds_ok,heavy_atoms_ok",0,0,638.3080657139999
1bxq,filtered,"mw_ok,rot_bonds_ok,heavy_atoms_ok",0,0,626.3080657139999
1bxr,filtered,"mw_ok,rot_bonds_ok,heavy_atoms_ok",0,0,506.0117298740001
1bzc,filtered,rot_bonds_ok,0,0,430.07414395399996
1bzj,ok,,20,297,302.0155664580001
1bzy,skip,rdkit_parse_failed,0,0,0.0
1c1r,skip,rdkit_parse_failed,0,0,0.0
1c1u,skip,rdkit_parse_failed,0,0,0.0
1c1v,skip,rdkit_parse_failed,0,0,0.0
1ax0,ok,,15,249,221.0899372
1azm,ok,,13,354,221.988132052
1b05,filtered,rot_bonds_ok,0,0,380.23150482827
1b0h,filtered,"rot_bonds_ok,heavy_atoms_ok",0,0,474.30638402026995
1b1h,filtered,"rot_bonds_ok,heavy_atoms_ok",0,0,438.30638402026995
1b2h,filtered,rot_bonds_ok,0,0,392.3089094403599
1b32,filtered,rot_bonds_ok,0,0,408.2628049562699
1b38,filtered,"mw_ok,rot_bonds_ok,heavy_atoms_ok",0,0,506.99574546200006
1b3f,skip,rdkit_parse_failed,0,0,0.0
1b3g,filtered,rot_bonds_ok,0,0,390.30638402026995
1a4r,ok,,28,275,442.0403139720001
1a4w,filtered,"mw_ok,rot_bonds_ok,heavy_atoms_ok",0,0,613.250494728
1a69,skip,rdkit_parse_failed,0,0,0.0
1a94,filtered,"mw_ok,rot_bonds_ok,heavy_atoms_ok",0,0,846.51959917609
1a99,ok,,6,417,90.11460128818001
1a9m,filtered,"mw_ok,rot_bonds_ok,heavy_atoms_ok",0,0,596.4009813840001
1a9q,skip,rdkit_parse_failed,0,0,0.0
1aaq,filtered,"mw_ok,rot_bonds_ok,heavy_atoms_ok",0,0,578.35482529609
1add,ok,,19,376,266.101504928
1adl,filtered,rot_bonds_ok,0,0,304.240230264
10gs,filtered,"rot_bonds_ok,heavy_atoms_ok",0,0,474.16933303608994
184l,ok,,10,419,134.109550448
185l,skip,rdkit_parse_failed,0,0,0.0
186l,ok,,10,431,134.109550448
187l,ok,,8,436,106.07825032
188l,ok,,8,429,106.07825032
1a1e,filtered,"mw_ok,rot_bonds_ok,heavy_atoms_ok",0,0,555.234566426
1a28,ok,,23,404,314.2245802
1a30,filtered,rot_bonds_ok,0,0,376.17144121209
1a4k,filtered,heavy_atoms_ok,0,0,429.153600076
1b8o,skip,rdkit_parse_failed,0,0,0.0
1b8y,ok,,26,324,374.13002818399997
1b9j,filtered,rot_bonds_ok,0,0,390.30638402026995
1bai,filtered,"mw_ok,rot_bonds_ok,heavy_atoms_ok",0,0,846.51959917609
1bcd,ok,,8,405,148.975833964
1bcu,ok,,16,264,209.095297352
1bdq,skip,rdkit_parse_failed,0,0,0.0
1bgq,ok,,25,320,364.0713659439999
1bhf,filtered,"mw_ok,rot_bonds_ok,heavy_atoms_ok",0,0,636.26427272
1bhx,filtered,"rot_bonds_ok,heavy_atoms_ok",0,0,468.1613453760001
1d3d,filtered,"mw_ok,rot_bonds_ok,heavy_atoms_ok",0,0,592.1748143641801
1d3p,filtered,"mw_ok,rot_bonds_ok,heavy_atoms_ok",0,0,545.27011594818
1d4h,filtered,"mw_ok,rot_bonds_ok,heavy_atoms_ok",0,0,610.267901556
1d4i,filtered,"mw_ok,rot_bonds_ok,heavy_atoms_ok",0,0,636.2835516199999
1d4j,filtered,"mw_ok,rot_bonds_ok,heavy_atoms_ok",0,0,662.2195073919999
1d4k,filtered,"mw_ok,rot_bonds_ok,heavy_atoms_ok",0,0,699.41161190009
1d4l,filtered,"mw_ok,rot_bonds_ok,heavy_atoms_ok",0,0,616.3294562559998
1d4p,skip,rdkit_parse_failed,0,0,0.0
1d4y,filtered,"mw_ok,rot_bonds_ok,heavy_atoms_ok",0,0,602.2062278159999
1d6v,ok,,28,323,381.194008344
1ajq,ok,,9,382,142.008850432
1ajv,filtered,"mw_ok,rot_bonds_ok,heavy_atoms_ok",0,0,574.213757808
1ajx,filtered,"mw_ok,rot_bonds_ok,heavy_atoms_ok",0,0,538.2467721879999
1alw,ok,,12,280,182.04015056
1amk,ok,,9,367,155.98237451
1amw,ok,,27,283,427.02941494000015
1apv,filtered,"mw_ok,rot_bonds_ok,heavy_atoms_ok",0,0,522.3228915679999
1atl,filtered,rot_bonds_ok,0,0,339.15042927999997
1atr,ok,,27,326,427.02941494000015
1avn,skip,rdkit_parse_failed,0,0,0.0
1e6q,skip,rdkit_parse_failed,0,0,0.0
1e6s,ok,,13,377,192.074621484
1eb2,filtered,heavy_atoms_ok,0,0,468.216140756
1ebw,filtered,"mw_ok,rot_bonds_ok,heavy_atoms_ok",0,0,644.378514624
1eby,filtered,"mw_ok,rot_bonds_ok,heavy_atoms_ok",0,0,652.27846624
1ebz,filtered,"mw_ok,rot_bonds_ok,heavy_atoms_ok",0,0,633.3050153359999
1ec0,filtered,"mw_ok,rot_bonds_ok,heavy_atoms_ok",0,0,688.259622616
1ec1,filtered,"mw_ok,rot_bonds_ok,heavy_atoms_ok",0,0,778.3070065600001
1ec2,filtered,"mw_ok,rot_bonds_ok,heavy_atoms_ok",0,0,768.3846626239999
1ec3,filtered,"mw_ok,rot_bonds_ok,heavy_atoms_ok",0,0,768.3846626239999
1bnu,ok,,22,320,379.962905484
1bnv,ok,,25,305,404.0403100960899
1bnw,ok,,19,319,337.95234079999994
1bp0,ok,,20,304,308.04095200599994
1bq4,ok,,24,256,341.9859256319999
1br6,ok,,23,313,312.09708824399996
1bty,ok,,10,335,120.06874825599999
1bv7,filtered,"mw_ok,rot_bonds_ok,heavy_atoms_ok",0,0,758.2345103160001
1bv9,filtered,"mw_ok,rot_bonds_ok,heavy_atoms_ok",0,0,758.2345103160001
1bwa,filtered,"mw_ok,rot_bonds_ok,heavy_atoms_ok",0,0,758.2345103160001
1c3x,skip,rdkit_parse_failed,0,0,0.0
1c4u,filtered,"mw_ok,rot_bonds_ok,heavy_atoms_ok",0,0,580.110351128
1c5c,ok,,22,341,344.997693692
1c5n,ok,,14,306,301.93746722400005
1c5o,ok,,10,330,120.06874825599999
1c5p,ok,,10,323,120.06874825599999
1c5q,ok,,14,295,301.93746722400005
1c5s,ok,,13,303,176.040819256
1c5t,ok,,13,300,177.036068224
1c5x,ok,,14,335,301.93746722400005
1c5y,ok,,13,335,177.036068224
1c70,filtered,"mw_ok,rot_bonds_ok,heavy_atoms_ok",0,0,654.37702354018
1c83,skip,rdkit_parse_failed,0,0,0.0
1c84,ok,,19,306,259.04807238800004
